file,line,type,commit,author,date,time,timezone,datetime,depth,length
styles.css,46,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,0,50
styles.css,47,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,13
styles.css,48,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,10
styles.css,49,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,21
styles.css,50,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,18
styles.css,51,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,0,0
styles.css,52,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,0,0
styles.css,53,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,0,9
styles.css,54,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,12
styles.css,55,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,58
styles.css,56,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,10
styles.css,57,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,17
styles.css,58,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,15
styles.css,59,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,0,0
styles.css,60,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,0,0
styles.css,61,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,0,17
styles.css,62,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,33
styles.css,63,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,42
styles.css,64,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,17
styles.css,65,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,12
styles.css,66,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,36
styles.css,67,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,17
styles.css,68,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,0,0
styles.css,69,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,0,0
styles.css,70,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,0,13
styles.css,71,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,14
styles.css,72,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,11
styles.css,73,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,17
styles.css,74,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,16
styles.css,75,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,0,0
styles.css,76,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,0,0
styles.css,77,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,0,18
styles.css,78,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,14
styles.css,79,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,16
styles.css,80,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,16
styles.css,81,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,0,0
styles.css,82,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,0,0
styles.css,83,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,0,7
styles.css,84,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,15
styles.css,85,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,9
styles.css,86,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,15
styles.css,87,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,12
styles.css,88,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,8
styles.css,89,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,14
styles.css,90,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,22
styles.css,91,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,0,0
styles.css,92,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,0,0
styles.css,93,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,0,10
styles.css,94,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,12
styles.css,95,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,18
styles.css,96,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,10
styles.css,97,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,16
styles.css,98,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,0,0
styles.css,99,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,0,0
styles.css,100,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,0,15
styles.css,101,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,9
styles.css,102,css,e092769c,Siddhu-S,2025-11-08,04:03:47,-08:00,2025-11-08T04:03:47-08:00,1,10
